ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A5403370,418,93834281,53,,,POINT,603985,,Data2,Data3,,1,Data6,9431,,H,6001,,,m/s,,,,,Data1,Test Data 80,68
A7202856,981,83488574,155,,,POINT,682877,,Data8,Data1,CYCLE,,Data6,8661,,H,6001,,,m/s,,,,zero,Data4,Test Data 90,2
A4801846,866,62983255,88,,,POINT,809356,,Data3,Data1,,1,Data6,2970,,,UNSPECIFIED,,,m/s,,,,five,Data9,Test Data 10,53
A1399078,44,78760320,48,,,POINT,862541,,Data8,Data1,,,Data8,5128,,H,,,,m/s,,,,three,Data9,Test Data 73,88
A532931,809,51687247,157,,,POINT,784142,,Data7,Data5,,,Data9,7407,,H,6001,,,m/s,,,,,Data7,Test Data 60,21
A8736012,401,41341297,56,,,POINT,469889,,Data7,Data3,,,Data5,7911,,H,0,,,m/s,,,,,Data7,Test Data 71,86
A5363448,266,3697073,208,,,POINT,279783,,Data2,Data5,CYCLE,1,Data6,6217,,,0,,,m/s,,,,seven,Data9,Test Data 38,66
A3529336,617,37162214,143,,,POINT,523411,,Data7,Data5,CYCLE,,Data6,2187,,H,UNSPECIFIED,,,m/s,,,,one,Data5,Test Data 91,78
A4336678,570,21467354,170,,,POINT,390910,,Data9,Data3,CYCLE,1,Data8,9983,,H,,,,m/s,,,,one,Data2,Test Data 57,46
A2328723,796,32025818,12,,,POINT,66072,,Data4,Data5,,,Data2,4722,,H,6001,,,m/s,,,,six,Data1,Test Data 92,66
A7720753,254,98351328,133,,,POINT,179459,,Data6,Data4,,,Data5,1496,,H,6001,,,m/s,,,,,Data7,Test Data 34,20
A5178956,130,21226995,230,,,POINT,490727,,Data2,Data8,,,Data7,5746,,,9001,,,m/s,,,,zero,Data7,Test Data 85,46
A3810042,499,81746444,205,,,POINT,548164,,Data1,Data9,CYCLE,1,Data8,6238,,,,,,m/s,,,,one,Data4,Test Data 21,10
A8294756,105,9709075,99,,,POINT,508227,,Data4,Data1,,,Data1,3239,,,6001,,,m/s,,,,two,Data7,Test Data 18,55
A1252530,651,31507162,47,,,POINT,72224,,Data3,Data5,CYCLE,,Data5,8812,,H,,,,m/s,,,,,Data3,Test Data 41,86
A9122207,210,83658321,99,,,POINT,217385,,Data4,Data1,CYCLE,1,Data9,3737,,H,UNSPECIFIED,,,m/s,,,,zero,Data9,Test Data 60,69
A4205561,966,26325467,245,,,POINT,287684,,Data4,Data4,,,Data9,2580,,,,,,m/s,,,,four,Data2,Test Data 37,57
A3032241,644,13116225,20,,,POINT,540659,,Data8,Data5,,,Data6,7299,,,0,,,m/s,,,,six,Data5,Test Data 69,63
A5105536,372,14540643,178,,,POINT,636515,,Data6,Data8,,,Data6,4497,,,,,,m/s,,,,two,Data8,Test Data 7,57
A9201973,832,92791196,233,,,POINT,697968,,Data1,Data7,,,Data4,1445,,H,0,,,m/s,,,,,Data5,Test Data 90,26
