ID,RefID,alias,Catogory,Param1,Param2,Param3,Param4,Param5,Param6,Param7,Param8,Param9,Param10,Param11,Param12,Param13,Hour,Minute,Param14,Param15,Param16,Param17,Param18,Data,Comments,Subject Number,Check
A8241288,320,63071957,74,,,POINT,597378,,Data2,Data3,CYCLE,,Data1,8025,,,0,,,m/s,,,,one,Data2,Test Data 38,30
A455444,927,49613081,63,,,POINT,83836,,Data4,Data6,CYCLE,,Data2,2516,,H,,,,m/s,,,,seven,Data2,Test Data 1,36
A9191959,143,69351849,2,,,POINT,793080,,Data5,Data9,,1,Data2,1824,,,,,,m/s,,,,seven,Data8,Test Data 31,54
A1390156,359,9064141,109,,,POINT,197902,,Data8,Data8,CYCLE,,Data8,7775,,H,,,,m/s,,,,four,Data8,Test Data 56,64
A5079492,358,39930701,82,,,POINT,614421,,Data2,Data2,CYCLE,,Data9,1446,,H,,,,m/s,,,,,Data8,Test Data 36,61
A8613922,830,32887673,176,,,POINT,34020,,Data2,Data1,CYCLE,1,Data1,5810,,H,6001,,,m/s,,,,zero,Data7,Test Data 83,47
A5549357,997,81421160,148,,,POINT,561227,,Data1,Data6,,,Data9,7636,,,9001,,,m/s,,,,,Data7,Test Data 95,10
A1905615,151,31179512,62,,,POINT,383343,,Data2,Data6,CYCLE,,Data5,3473,,H,6001,,,m/s,,,,seven,Data1,Test Data 62,26
A2921136,126,84548075,26,,,POINT,322554,,Data4,Data6,CYCLE,1,Data1,1596,,H,6001,,,m/s,,,,two,Data3,Test Data 88,62
A1103874,651,97805421,127,,,POINT,450759,,Data4,Data6,CYCLE,,Data3,1789,,,6001,,,m/s,,,,six,Data8,Test Data 74,29
A9210032,345,76142820,241,,,POINT,554470,,Data9,Data4,,,Data4,9754,,H,0,,,m/s,,,,two,Data1,Test Data 44,40
A6088578,971,22211272,189,,,POINT,755725,,Data6,Data5,,,Data7,4216,,,,,,m/s,,,,,Data7,Test Data 65,83
A4082953,603,61229247,167,,,POINT,693074,,Data9,Data5,,,Data7,6154,,,9001,,,m/s,,,,three,Data4,Test Data 70,36
A7861626,739,70069567,8,,,POINT,985674,,Data7,Data4,,1,Data9,3752,,H,UNSPECIFIED,,,m/s,,,,four,Data7,Test Data 0,5
